,Activation,Learning_Rate,Max_Iterations,Hidden_Neurons,Train_Size,MSE_Train,RMSE_Train,MAE_Train,R2_Train,MSE_Test,RMSE_Test,MAE_Test,R2_Test
32,Sigmoid,0.15,100,12,0.85,3008.2528560898836,54.84754193297894,119.40349067566663,0.9181691490171027,21447.913802252,146.45106282390714,119.40349067566663,-0.8016953192476539
33,Relu,0.1,50,10,0.8,271883.4898180219,521.4244814141564,445.58605226530614,-6.0570963117842105,208558.99835096285,456.6826013228037,445.58605226530614,-19.830760486807353
34,Relu,0.1,50,10,0.85,268451.52079221926,518.1230749466957,449.373442918919,-6.30245010807825,213840.78687894685,462.4292236428693,449.373442918919,-16.963329596353578
35,Relu,0.1,50,12,0.8,271883.4898180219,521.4244814141564,445.58605226530614,-6.0570963117842105,208558.99835096285,456.6826013228037,445.58605226530614,-19.830760486807353
36,Relu,0.1,50,12,0.85,268451.52079221926,518.1230749466957,449.373442918919,-6.30245010807825,213840.78687894685,462.4292236428693,449.373442918919,-16.963329596353578
37,Relu,0.1,100,10,0.8,271883.4898180219,521.4244814141564,445.58605226530614,-6.0570963117842105,208558.99835096285,456.6826013228037,445.58605226530614,-19.830760486807353
38,Relu,0.1,100,10,0.85,268451.52079221926,518.1230749466957,449.373442918919,-6.30245010807825,213840.78687894685,462.4292236428693,449.373442918919,-16.963329596353578
39,Relu,0.1,100,12,0.8,271883.4898180219,521.4244814141564,445.58605226530614,-6.0570963117842105,208558.99835096285,456.6826013228037,445.58605226530614,-19.830760486807353
40,Relu,0.1,100,12,0.85,268451.52079221926,518.1230749466957,449.373442918919,-6.30245010807825,213840.78687894685,462.4292236428693,449.373442918919,-16.963329596353578
41,Relu,0.15,50,10,0.8,271883.4898180219,521.4244814141564,445.58605226530614,-6.0570963117842105,208558.99835096285,456.6826013228037,445.58605226530614,-19.830760486807353
42,Relu,0.15,50,10,0.85,268451.52079221926,518.1230749466957,449.373442918919,-6.30245010807825,213840.78687894685,462.4292236428693,449.373442918919,-16.963329596353578
43,Relu,0.15,50,12,0.8,271883.4898180219,521.4244814141564,445.58605226530614,-6.0570963117842105,208558.99835096285,456.6826013228037,445.58605226530614,-19.830760486807353
44,Relu,0.15,50,12,0.85,268451.52079221926,518.1230749466957,449.373442918919,-6.30245010807825,213840.78687894685,462.4292236428693,449.373442918919,-16.963329596353578
45,Relu,0.15,100,10,0.8,271883.4898180219,521.4244814141564,445.58605226530614,-6.0570963117842105,208558.99835096285,456.6826013228037,445.58605226530614,-19.830760486807353
46,Relu,0.15,100,10,0.85,268451.52079221926,518.1230749466957,449.373442918919,-6.30245010807825,213840.78687894685,462.4292236428693,449.373442918919,-16.963329596353578
47,Relu,0.15,100,12,0.8,271883.4898180219,521.4244814141564,445.58605226530614,-6.0570963117842105,208558.99835096285,456.6826013228037,445.58605226530614,-19.830760486807353
48,Relu,0.15,100,12,0.85,268451.52079221926,518.1230749466957,449.373442918919,-6.30245010807825,213840.78687894685,462.4292236428693,449.373442918919,-16.963329596353578
